Country,PopTimesBaseMort,InitialMort
United Arab Emirates,5658.951424,595.4804823
United Kingdom,147066.2866,5005.094473
United Rep.of Tanzania,32987.0956,710.8724511
United Sts.of America,713008.3131,39016.53844
Uruguay,8003.241045,49.31495359
Uzbekistan,120390.1908,7722.7618
Vanuatu,626.6712012,0
Boliv.Rep.of Venezuela,42694.43417,1126.092485
Viet Nam,190665.2922,11843.46611
Yemen,38782.28603,2337.38775
Zambia,9333.934658,387.3544577
Zimbabwe,14676.55115,497.5964921
PuertoRico_VirginIslands,5176.823857,354.9386575
